mA,V,time
495.0,4.588,1566591100.6744614
494.6,4.588,1566591100.7397273
494.1,4.588,1566591100.8060858
494.5,4.588,1566591100.8714724
495.1,4.588,1566591100.9367094
495.70000000000005,4.588,1566591101.003202
495.8,4.588,1566591101.068308
494.6,4.588,1566591101.134623
495.1,4.588,1566591101.1997883
494.5,4.588,1566591101.2652545
495.40000000000003,4.588,1566591101.3314676
494.70000000000005,4.588,1566591101.3966541
492.5,4.588,1566591101.4629433
494.0,4.588,1566591101.5282295
492.90000000000003,4.588,1566591101.5945191
494.20000000000005,4.588,1566591101.6600254
494.90000000000003,4.588,1566591101.7252884
495.0,4.588,1566591101.7916296
494.20000000000005,4.588,1566591101.8567512
496.1,4.588,1566591101.923008
495.8,4.588,1566591101.9882424
493.8,4.588,1566591102.054576
494.70000000000005,4.588,1566591102.1197765
493.90000000000003,4.588,1566591102.1860774
495.40000000000003,4.588,1566591102.251363
495.6,4.588,1566591102.3167007
494.40000000000003,4.588,1566591102.3829756
495.40000000000003,4.588,1566591102.4482179
493.70000000000005,4.588,1566591102.5145376
493.20000000000005,4.588,1566591102.57988
493.20000000000005,4.588,1566591102.6461146
493.20000000000005,4.588,1566591102.711358
493.8,4.588,1566591102.7767234
495.40000000000003,4.588,1566591102.84305
495.40000000000003,4.588,1566591102.908268
494.3,4.588,1566591102.974491
494.5,4.588,1566591103.0398085
495.0,4.588,1566591103.10513
494.1,4.588,1566591103.171343
494.90000000000003,4.588,1566591103.2375584
495.6,4.588,1566591103.3028932
495.6,4.588,1566591103.368143
495.3,4.588,1566591103.434466
493.3,4.588,1566591103.4996665
495.8,4.588,1566591103.565965
494.5,4.588,1566591103.6312134
495.5,4.588,1566591103.6971676
495.3,4.588,1566591103.7624817
493.70000000000005,4.588,1566591103.8287823
495.0,4.588,1566591103.8942137
494.20000000000005,4.588,1566591103.9603658
493.0,4.588,1566591104.0256746
493.40000000000003,4.588,1566591104.0919478
494.20000000000005,4.588,1566591104.1571481
492.8,4.588,1566591104.2223887
493.40000000000003,4.588,1566591104.2886572
494.20000000000005,4.588,1566591104.3539338
493.70000000000005,4.588,1566591104.4202347
493.90000000000003,4.588,1566591104.4854739
493.70000000000005,4.588,1566591104.551653
492.40000000000003,4.588,1566591104.617225
493.3,4.588,1566591104.6824403
493.0,4.588,1566591104.7487967
493.6,4.588,1566591104.81412
493.70000000000005,4.588,1566591104.8804624
494.40000000000003,4.588,1566591104.9456916
495.1,4.588,1566591105.0109112
495.40000000000003,4.588,1566591105.0772178
492.6,4.588,1566591105.1425705
494.8,4.588,1566591105.2087839
495.3,4.588,1566591105.273985
495.1,4.588,1566591105.3402975
495.1,4.588,1566591105.4056628
494.5,4.588,1566591105.4718812
494.0,4.588,1566591105.5372782
494.5,4.588,1566591105.6025364
492.90000000000003,4.588,1566591105.6689079
494.40000000000003,4.588,1566591105.7341099
494.40000000000003,4.588,1566591105.8003564
495.0,4.588,1566591105.8657582
495.1,4.588,1566591105.9311004
495.70000000000005,4.588,1566591105.9974527
496.20000000000005,4.588,1566591106.0626957
494.70000000000005,4.588,1566591106.1290488
494.5,4.588,1566591106.1942606
494.20000000000005,4.588,1566591106.2595096
494.5,4.588,1566591106.325709
494.20000000000005,4.588,1566591106.3919055
495.1,4.588,1566591106.457183
496.20000000000005,4.588,1566591106.522453
493.70000000000005,4.588,1566591106.588708
495.1,4.588,1566591106.654082
495.8,4.588,1566591106.720455
494.3,4.588,1566591106.7857387
495.8,4.588,1566591106.8510864
540.0,4.588,1566591106.9175296
