mA,V,time
493.5,4.596,1566572407.3959594
493.5,4.596,1566572407.4615939
494.0,4.596,1566572407.5272298
494.20000000000005,4.596,1566572407.5931385
493.1,4.596,1566572407.6588106
493.6,4.596,1566572407.7237
493.40000000000003,4.596,1566572407.7903337
493.70000000000005,4.596,1566572407.8559508
493.8,4.596,1566572407.9215178
492.90000000000003,4.596,1566572407.987434
492.90000000000003,4.596,1566572408.0531826
494.3,4.596,1566572408.1188204
493.0,4.596,1566572408.1844125
493.8,4.596,1566572408.250056
494.20000000000005,4.596,1566572408.315634
493.5,4.596,1566572408.381302
493.70000000000005,4.596,1566572408.4468331
493.70000000000005,4.596,1566572408.5125587
493.5,4.596,1566572408.5781932
493.3,4.596,1566572408.6438673
492.70000000000005,4.596,1566572408.7096136
491.6,4.596,1566572408.7752874
493.0,4.596,1566572408.840922
494.70000000000005,4.596,1566572408.907618
492.40000000000003,4.596,1566572408.9723086
493.5,4.596,1566572409.038153
492.70000000000005,4.596,1566572409.103786
493.5,4.596,1566572409.1695027
493.5,4.596,1566572409.2351618
492.8,4.596,1566572409.3018317
494.3,4.596,1566572409.3675199
493.40000000000003,4.596,1566572409.4332302
493.40000000000003,4.596,1566572409.4990685
492.20000000000005,4.596,1566572409.5647368
492.3,4.596,1566572409.6303957
493.70000000000005,4.596,1566572409.6961133
493.70000000000005,4.596,1566572409.7618585
493.20000000000005,4.596,1566572409.8275256
494.1,4.596,1566572409.8930817
494.70000000000005,4.596,1566572409.9597623
494.3,4.596,1566572410.0244215
492.70000000000005,4.596,1566572410.0900555
493.3,4.596,1566572410.155731
492.5,4.596,1566572410.2213914
493.40000000000003,4.596,1566572410.287145
493.3,4.596,1566572410.352849
493.6,4.596,1566572410.418573
493.8,4.596,1566572410.4844682
493.3,4.596,1566572410.5501738
494.0,4.596,1566572410.6159263
493.70000000000005,4.596,1566572410.681569
494.0,4.596,1566572410.7472222
494.1,4.596,1566572410.812932
494.6,4.596,1566572410.8787
494.40000000000003,4.596,1566572410.9440594
491.5,4.596,1566572411.009757
493.20000000000005,4.596,1566572411.0754287
493.6,4.596,1566572411.1411164
493.20000000000005,4.596,1566572411.2068098
493.8,4.596,1566572411.2724729
494.40000000000003,4.596,1566572411.3392787
493.0,4.596,1566572411.4040332
494.20000000000005,4.596,1566572411.4697278
492.3,4.596,1566572411.5354247
492.8,4.596,1566572411.6011968
492.1,4.596,1566572411.6669302
494.0,4.596,1566572411.7326515
494.20000000000005,4.596,1566572411.7984972
494.3,4.596,1566572411.8643448
493.8,4.596,1566572411.9300542
494.0,4.596,1566572411.9958
