task,time
start dynamic 0,1566593439.216
click,1566593439.22
click,1566593440.074
click,1566593440.678
click,1566593441.254
click,1566593441.956
click,1566593442.659
click,1566593443.238
click,1566593443.803
click,1566593444.384
click,1566593444.954
click,1566593445.539
click,1566593446.116
click,1566593446.818
click,1566593447.384
click,1566593447.962
click,1566593448.535
click,1566593449.103
click,1566593449.69
click,1566593450.272
click,1566593450.851
click,1566593451.422
click,1566593451.984
click,1566593452.566
click,1566593453.15
click,1566593453.733
click,1566593454.316
click,1566593454.898
click,1566593455.471
click,1566593456.053
click,1566593456.648
click,1566593457.217
click,1566593457.782
click,1566593458.362
click,1566593458.935
stop dynamic 0,1566593463.123
start static 0,1566593500.578
click,1566593500.58
click,1566593501.343
click,1566593501.931
click,1566593502.674
click,1566593503.232
click,1566593503.825
click,1566593504.393
click,1566593504.96
click,1566593505.644
click,1566593506.206
click,1566593506.761
click,1566593507.325
click,1566593507.886
click,1566593508.457
click,1566593509.021
click,1566593509.589
click,1566593510.153
click,1566593510.72
click,1566593511.287
click,1566593511.844
click,1566593512.404
click,1566593512.96
click,1566593513.531
click,1566593514.085
click,1566593514.671
click,1566593515.216
click,1566593515.802
click,1566593516.367
click,1566593516.923
click,1566593517.481
click,1566593518.063
click,1566593518.624
click,1566593519.205
click,1566593519.766
click,1566593520.339
stop static 0,1566593524.218
start dynamic 1,1566593551.615
click,1566593551.617
click,1566593552.345
click,1566593552.929
click,1566593553.513
click,1566593554.089
click,1566593554.696
click,1566593555.296
click,1566593555.864
click,1566593556.427
click,1566593557.085
click,1566593557.655
click,1566593558.232
click,1566593558.824
click,1566593559.409
click,1566593559.977
click,1566593560.549
click,1566593561.113
click,1566593561.686
click,1566593562.251
click,1566593562.844
click,1566593563.427
click,1566593563.997
click,1566593564.566
click,1566593565.158
click,1566593565.741
click,1566593566.326
click,1566593566.895
click,1566593567.46
click,1566593568.022
click,1566593568.59
click,1566593569.157
click,1566593569.724
click,1566593570.291
click,1566593570.855
click,1566593571.427
stop dynamic 1,1566593575.122
start static 1,1566593613.157
click,1566593613.16
click,1566593613.986
click,1566593614.586
click,1566593615.141
click,1566593615.74
click,1566593616.415
click,1566593616.973
click,1566593617.56
click,1566593618.131
click,1566593618.718
click,1566593619.271
click,1566593619.851
click,1566593620.42
click,1566593620.968
click,1566593621.537
click,1566593622.107
click,1566593622.686
click,1566593623.256
click,1566593623.833
click,1566593624.413
click,1566593624.965
click,1566593625.531
click,1566593626.098
click,1566593626.684
click,1566593627.258
click,1566593627.819
click,1566593628.38
click,1566593628.963
click,1566593629.53
click,1566593630.077
click,1566593630.646
click,1566593631.195
click,1566593631.762
click,1566593632.34
click,1566593632.919
stop static 1,1566593636.521
