mA,V,time
579.8000000000001,4.464,1579037803.4737399
579.5,4.464,1579037803.5235436
581.4,4.464,1579037803.5890555
578.9,4.464,1579037803.6548376
580.9,4.464,1579037803.7206538
580.0,4.464,1579037803.7862108
579.3000000000001,4.464,1579037803.8520215
581.7,4.464,1579037803.917863
578.9,4.464,1579037803.9836378
580.7,4.464,1579037804.0493488
580.4,4.464,1579037804.115069
578.4,4.464,1579037804.1809924
579.2,4.464,1579037804.2467687
577.0,4.464,1579037804.31246
578.2,4.464,1579037804.3784096
578.5,4.464,1579037804.4438655
576.4,4.464,1579037804.5098577
579.1,4.464,1579037804.5755823
577.5,4.464,1579037804.6428137
578.0,4.464,1579037804.7084587
578.9,4.464,1579037804.7742581
576.2,4.464,1579037804.840366
578.8000000000001,4.464,1579037804.9060671
577.4,4.464,1579037804.971747
577.3000000000001,4.464,1579037805.0380938
578.9,4.464,1579037805.1039486
576.2,4.464,1579037805.16967
579.3000000000001,4.464,1579037805.2347434
580.0,4.464,1579037805.3004715
579.6,4.464,1579037805.366229
581.4,4.464,1579037805.432937
578.7,4.464,1579037805.498049
580.7,4.464,1579037805.5641236
580.6,4.464,1579037805.6303587
579.1,4.464,1579037805.6950536
581.7,4.464,1579037805.761473
579.1,4.464,1579037805.827208
580.4,4.464,1579037805.8929203
580.5,4.464,1579037805.9589922
578.8000000000001,4.464,1579037806.0249329
581.5,4.464,1579037806.0907314
579.6,4.464,1579037806.1558907
580.1,4.464,1579037806.2215865
580.7,4.464,1579037806.287527
578.8000000000001,4.464,1579037806.35362
581.6,4.464,1579037806.4194396
579.4,4.464,1579037806.485231
579.8000000000001,4.464,1579037806.5504465
581.3000000000001,4.464,1579037806.6161547
578.5,4.464,1579037806.6818857
581.5,4.464,1579037806.748357
580.2,4.464,1579037806.8140848
579.7,4.464,1579037806.879279
581.6,4.464,1579037806.9450157
578.5,4.464,1579037807.0108395
580.7,4.464,1579037807.0770125
580.0,4.464,1579037807.142734
579.2,4.464,1579037807.208455
581.5,4.464,1579037807.2736871
577.3000000000001,4.464,1579037807.339373
578.1,4.464,1579037807.405062
578.4,4.464,1579037807.4714344
576.5,4.464,1579037807.5374005
579.1,4.464,1579037807.6025717
577.3000000000001,4.464,1579037807.6684515
578.1,4.464,1579037807.734462
578.5,4.464,1579037807.8004482
576.8000000000001,4.464,1579037807.866241
579.1,4.464,1579037807.9319112
577.2,4.464,1579037807.997327
577.9,4.464,1579037808.063167
578.8000000000001,4.464,1579037808.1293154
576.7,4.464,1579037808.19514
578.9,4.464,1579037808.260451
577.3000000000001,4.464,1579037808.3261616
579.2,4.464,1579037808.3918166
581.3000000000001,4.464,1579037808.4579928
578.5,4.464,1579037808.5239446
580.8000000000001,4.464,1579037808.5900168
580.0,4.464,1579037808.6548665
579.3000000000001,4.464,1579037808.7206385
581.5,4.464,1579037808.7869458
579.2,4.464,1579037808.852652
580.7,4.464,1579037808.918491
580.2,4.464,1579037808.9836404
578.8000000000001,4.464,1579037809.0498943
581.3000000000001,4.464,1579037809.1159074
579.0,4.464,1579037809.1815898
580.2,4.464,1579037809.2470958
580.6,4.464,1579037809.3128126
578.9,4.464,1579037809.3789408
579.8000000000001,4.464,1579037809.4448512
577.3000000000001,4.464,1579037809.5107875
578.0,4.464,1579037809.5758526
578.5,4.464,1579037809.6416252
576.4,4.464,1579037809.707459
579.1,4.464,1579037809.7736409
577.3000000000001,4.464,1579037809.8394508
577.6,4.464,1579037809.9051807
578.9,4.464,1579037809.9702795
576.2,4.464,1579037810.0361054
578.6,4.464,1579037810.101846
577.9,4.464,1579037810.1679864
577.2,4.464,1579037810.2337482
579.1,4.464,1579037810.2992098
576.5,4.464,1579037810.3649092
578.4,4.464,1579037810.4306788
579.9,4.464,1579037810.4971821
579.1,4.464,1579037810.5628
581.6,4.464,1579037810.6285806
578.9,4.464,1579037810.6936684
580.1,4.464,1579037810.7596672
580.8000000000001,4.464,1579037810.8258312
578.9,4.464,1579037810.8915477
581.9,4.464,1579037810.9573913
579.2,4.464,1579037811.0225482
579.9,4.464,1579037811.0884147
580.7,4.464,1579037811.1545525
578.6,4.464,1579037811.220479
581.4,4.464,1579037811.2865424
579.4,4.464,1579037811.3515458
579.7,4.464,1579037811.41735
581.1,4.464,1579037811.4830503
577.1,4.464,1579037811.5492833
579.0,4.464,1579037811.6151667
577.6,4.464,1579037811.680297
577.3000000000001,4.464,1579037811.7462416
579.1,4.464,1579037811.8125007
576.3000000000001,4.464,1579037811.8783813
578.7,4.464,1579037811.9441168
578.1,4.464,1579037812.0094113
576.8000000000001,4.464,1579037812.0754921
579.2,4.464,1579037812.1415508
576.5,4.464,1579037812.2074213
578.1,4.464,1579037812.2726443
578.5,4.464,1579037812.3385003
576.8000000000001,4.464,1579037812.4046621
579.1,4.464,1579037812.4704652
576.9,4.464,1579037812.535235
580.1,4.464,1579037812.6014233
580.9,4.464,1579037812.667234
578.6,4.464,1579037812.7329957
581.3000000000001,4.464,1579037812.79919
579.3000000000001,4.464,1579037812.865018
580.1,4.464,1579037812.9308102
581.0,4.464,1579037812.9961839
579.0,4.464,1579037813.0618498
581.4,4.464,1579037813.1280558
579.5,4.464,1579037813.193786
579.6,4.464,1579037813.2587516
581.3000000000001,4.464,1579037813.3248188
578.8000000000001,4.464,1579037813.3905525
581.1,4.464,1579037813.4563115
