mA,V,time
489.1,4.76,1579048844.4721525
488.70000000000005,4.76,1579048844.5081427
489.3,4.76,1579048844.573752
489.5,4.76,1579048844.6393862
487.70000000000005,4.76,1579048844.7048275
487.90000000000003,4.76,1579048844.7697573
489.5,4.76,1579048844.836121
489.8,4.76,1579048844.9013426
490.0,4.76,1579048844.9666216
489.1,4.76,1579048845.0327163
489.90000000000003,4.76,1579048845.098011
489.90000000000003,4.76,1579048845.1644127
489.3,4.76,1579048845.2296166
487.0,4.76,1579048845.2949185
488.6,4.76,1579048845.3611948
490.1,4.76,1579048845.4264932
490.0,4.76,1579048845.4917147
489.40000000000003,4.76,1579048845.5582106
489.5,4.76,1579048845.6235116
489.70000000000005,4.76,1579048845.688825
490.1,4.76,1579048845.755165
489.40000000000003,4.76,1579048845.820426
490.1,4.76,1579048845.8858428
489.0,4.76,1579048845.9521446
487.40000000000003,4.76,1579048846.0174127
488.0,4.76,1579048846.0825527
488.1,4.76,1579048846.1489196
487.8,4.76,1579048846.2143507
488.0,4.76,1579048846.2795868
488.1,4.76,1579048846.3449416
489.90000000000003,4.76,1579048846.411342
489.6,4.76,1579048846.4766614
489.6,4.76,1579048846.542121
489.5,4.76,1579048846.6075377
490.0,4.76,1579048846.6739733
487.8,4.76,1579048846.7393756
487.6,4.76,1579048846.8046443
488.5,4.76,1579048846.8701792
489.3,4.76,1579048846.9365327
487.5,4.76,1579048847.001803
487.90000000000003,4.76,1579048847.0672622
489.8,4.76,1579048847.1325245
490.0,4.76,1579048847.198982
490.3,4.76,1579048847.2643652
489.3,4.76,1579048847.3297043
490.1,4.76,1579048847.3950577
489.6,4.76,1579048847.4614449
489.1,4.76,1579048847.5265436
489.70000000000005,4.76,1579048847.5919418
490.1,4.76,1579048847.6585147
489.8,4.76,1579048847.723971
489.40000000000003,4.76,1579048847.7897053
489.6,4.76,1579048847.8551393
489.70000000000005,4.76,1579048847.920533
490.0,4.76,1579048847.9861403
488.6,4.76,1579048848.0514596
489.5,4.76,1579048848.1179698
489.90000000000003,4.76,1579048848.1833177
489.70000000000005,4.76,1579048848.248609
489.1,4.76,1579048848.3140347
488.6,4.76,1579048848.3804631
490.1,4.76,1579048848.445728
490.3,4.76,1579048848.5110016
490.3,4.76,1579048848.576457
490.40000000000003,4.76,1579048848.6428504
490.20000000000005,4.76,1579048848.7082138
490.3,4.76,1579048848.7736259
489.20000000000005,4.76,1579048848.8389306
490.1,4.76,1579048848.9053442
489.40000000000003,4.76,1579048848.9708207
