task,time
start v1 0,1579048937.137068
click,1579048942.3195522
click,1579048944.3545966
click,1579048946.444784
click,1579048947.8474996
click,1579048949.5278983
click,1579048951.1525435
click,1579048952.6209939
click,1579048953.745735
click,1579048954.8704686
click,1579048956.5575972
click,1579048957.8697627
click,1579048959.572418
click,1579048961.1971064
click,1579048962.9310374
stop v1 0,1579048965.2429485
start v2 0,1579048995.2444992
click,1579049000.415107
click,1579049001.258629
click,1579049002.071025
click,1579049002.8052182
click,1579049003.4144554
click,1579049004.2580037
click,1579049004.8360064
click,1579049005.5232568
click,1579049006.4136786
click,1579049007.272921
click,1579049007.9758828
click,1579049008.678834
click,1579049009.3974395
click,1579049010.2253492
click,1579049011.0375798
click,1579049011.83436
click,1579049012.5528913
click,1579049013.4902117
click,1579049014.4118674
click,1579049015.2084718
click,1579049015.9427552
click,1579049016.6144726
click,1579049017.3799312
click,1579049018.3171983
click,1579049019.2388415
click,1579049020.1605246
stop v2 0,1579049021.972506
start v1 1,1579049051.9783964
click,1579049057.1645985
click,1579049060.8199902
click,1579049063.3819876
click,1579049065.1159377
click,1579049066.1469357
click,1579049069.942934
click,1579049074.9104984
click,1579049076.3007941
stop v1 1,1579049078.2065222
start v2 1,1579049108.2101908
click,1579049113.3963852
click,1579049114.083808
click,1579049114.7242763
click,1579049115.302189
click,1579049115.9115074
click,1579049116.489434
click,1579049117.1143055
click,1579049117.6923294
click,1579049118.2703207
click,1579049118.9732924
click,1579049119.598131
click,1579049120.2073686
click,1579049120.9259634
click,1579049121.5195568
click,1579049122.1443295
click,1579049122.7223964
click,1579049123.3159385
click,1579049123.972114
click,1579049124.5657074
click,1579049125.2373993
click,1579049125.877902
click,1579049126.4559069
click,1579049127.0338793
click,1579049127.643112
click,1579049128.2210994
click,1579049128.8771973
click,1579049129.5020509
click,1579049130.1424441
click,1579049130.736136
click,1579049131.3609917
click,1579049131.9389725
click,1579049132.5482116
click,1579049133.313659
click,1579049134.0009944
stop v2 1,1579049135.4068546
start v1 2,1579049165.4165099
click,1579049170.5822687
click,1579049171.7227137
click,1579049172.972415
click,1579049174.1908662
click,1579049175.3780134
click,1579049176.3622518
click,1579049177.3151047
click,1579049178.3304446
click,1579049179.7989304
click,1579049180.8143046
click,1579049181.782851
click,1579049182.7669783
click,1579049183.688648
click,1579049184.6102166
click,1579049185.4694655
click,1579049186.3755057
click,1579049187.2502933
click,1579049188.1875818
click,1579049189.4840991
click,1579049190.6244276
stop v1 2,1579049192.4521663
start v2 2,1579049222.4607923
click,1579049227.639708
click,1579049228.3455873
click,1579049228.9861357
click,1579049229.5953875
click,1579049230.1889772
click,1579049230.798232
click,1579049231.376199
click,1579049231.985433
click,1579049232.6102812
click,1579049233.2507622
click,1579049233.953718
click,1579049234.5784948
click,1579049235.187811
click,1579049235.797036
click,1579049236.406268
click,1579049237.0155225
click,1579049237.6403484
click,1579049238.2652009
click,1579049238.9298828
click,1579049239.6016843
click,1579049240.234945
click,1579049240.8678098
click,1579049241.4698174
click,1579049242.140699
click,1579049242.7748232
click,1579049243.4146545
click,1579049244.0954235
click,1579049244.7192335
click,1579049245.3525505
click,1579049246.0552237
click,1579049246.657332
click,1579049247.3283837
stop v2 2,1579049248.7481425
start v1 3,1579049278.755115
click,1579049283.9413207
click,1579049285.706609
click,1579049287.0031836
click,1579049288.1726282
click,1579049289.6097043
click,1579049291.9686007
click,1579049293.0621052
click,1579049294.2024488
click,1579049295.5926747
click,1579049296.7018743
click,1579049298.310856
click,1579049299.5761843
click,1579049300.5759494
click,1579049301.9037638
click,1579049302.9035292
click,1579049304.043905
stop v1 3,1579049305.855878
start v2 3,1579049335.8644857
click,1579049341.0819638
click,1579049341.7537594
click,1579049342.3786306
click,1579049343.1128297
click,1579049343.909501
click,1579049344.6124578
click,1579049345.4403408
click,1579049346.0340228
click,1579049346.627613
click,1579049347.2056026
click,1579049347.8742008
click,1579049348.5767086
click,1579049349.1859434
click,1579049350.0451097
click,1579049350.701212
click,1579049351.372848
click,1579049352.0133247
click,1579049352.6381757
click,1579049353.3099744
click,1579049354.0754359
click,1579049354.8096187
click,1579049355.481333
click,1579049356.0593245
click,1579049356.6841793
click,1579049357.3559012
click,1579049357.9807627
click,1579049358.589981
click,1579049359.230451
click,1579049359.8240752
click,1579049360.4332988
click,1579049361.0425234
click,1579049361.6360626
stop v2 3,1579049363.2450533
