mA,V,time
573.8000000000001,4.356,1578182868.9434874
576.7,4.356,1578182869.0093396
574.5,4.356,1578182869.0746467
585.7,4.356,1578182869.1408799
576.6,4.356,1578182869.2066836
574.0,4.356,1578182869.2722166
576.0,4.356,1578182869.337951
574.9,4.356,1578182869.403567
574.5,4.356,1578182869.4694934
576.6,4.356,1578182869.5353925
574.0,4.356,1578182869.6010885
576.0,4.356,1578182869.6668253
575.6,4.356,1578182869.7325373
574.7,4.356,1578182869.798362
576.5,4.356,1578182869.8640296
574.1,4.356,1578182869.929457
575.6,4.356,1578182869.9953017
575.9,4.356,1578182870.0614946
574.3000000000001,4.356,1578182870.128902
576.8000000000001,4.356,1578182870.194843
574.6,4.356,1578182870.2606575
575.3000000000001,4.356,1578182870.3255503
576.1,4.356,1578182870.3913617
574.1,4.356,1578182870.457098
576.6,4.356,1578182870.5229416
574.6,4.356,1578182870.588948
575.0,4.356,1578182870.6548479
576.1,4.356,1578182870.7206223
573.9,4.356,1578182870.785863
576.4,4.356,1578182870.8515882
575.0,4.356,1578182870.9176624
574.9,4.356,1578182870.9837036
576.3000000000001,4.356,1578182871.0490963
574.2,4.356,1578182871.1149986
576.1,4.356,1578182871.181005
575.6,4.356,1578182871.2471468
574.6,4.356,1578182871.3118117
576.8000000000001,4.356,1578182871.3779671
574.0,4.356,1578182871.4436865
575.9,4.356,1578182871.5093749
575.3000000000001,4.356,1578182871.5756865
574.2,4.356,1578182871.6415055
576.5,4.356,1578182871.7071924
574.1,4.356,1578182871.7724624
575.8000000000001,4.356,1578182871.8382316
575.9,4.356,1578182871.9044125
573.7,4.356,1578182871.9703507
576.4,4.356,1578182872.035115
574.4,4.356,1578182872.1012793
575.1,4.356,1578182872.16706
576.1,4.356,1578182872.2329104
574.0,4.356,1578182872.2980726
576.1,4.356,1578182872.3649976
574.7,4.356,1578182872.4298868
574.7,4.356,1578182872.4960458
576.4,4.356,1578182872.5617206
574.0,4.356,1578182872.62691
576.0,4.356,1578182872.6927192
575.0,4.356,1578182872.758673
574.4,4.356,1578182872.8247344
576.6,4.356,1578182872.8905249
573.9,4.356,1578182872.9565952
576.0,4.356,1578182873.0214996
575.2,4.356,1578182873.0876064
574.4,4.356,1578182873.153615
576.7,4.356,1578182873.2192633
574.1,4.356,1578182873.2850597
576.0,4.356,1578182873.3511734
575.8000000000001,4.356,1578182873.4159384
573.8000000000001,4.356,1578182873.482694
576.5,4.356,1578182873.548068
574.6,4.356,1578182873.6140497
575.1,4.356,1578182873.6799319
575.9,4.356,1578182873.7450447
573.9,4.356,1578182873.8112388
576.6,4.356,1578182873.8770974
574.9,4.356,1578182873.9429207
575.2,4.356,1578182874.0081675
576.2,4.356,1578182874.0739713
574.0,4.356,1578182874.1399553
576.0,4.356,1578182874.2059603
575.0,4.356,1578182874.2707708
574.6,4.356,1578182874.3369262
576.6,4.356,1578182874.4027882
573.6,4.356,1578182874.4686408
575.7,4.356,1578182874.534703
575.2,4.356,1578182874.600386
574.3000000000001,4.356,1578182874.6661918
576.7,4.356,1578182874.7313428
573.9,4.356,1578182874.797595
575.6,4.356,1578182874.862586
575.6,4.356,1578182874.9282997
574.0,4.356,1578182874.9947557
576.8000000000001,4.356,1578182875.0605025
574.2,4.356,1578182875.1255317
575.3000000000001,4.356,1578182875.1914475
575.8000000000001,4.356,1578182875.257212
574.1,4.356,1578182875.323355
576.6,4.356,1578182875.38923
575.1,4.356,1578182875.455041
574.9,4.356,1578182875.5202847
576.1,4.356,1578182875.5861611
573.9,4.356,1578182875.6521738
576.4,4.356,1578182875.7181492
575.0,4.356,1578182875.783366
574.7,4.356,1578182875.849281
576.4,4.356,1578182875.9153
574.1,4.356,1578182875.9803584
576.4,4.356,1578182876.0468554
575.6,4.356,1578182876.1125364
574.7,4.356,1578182876.1782696
576.5,4.356,1578182876.2436004
574.2,4.356,1578182876.3093202
575.7,4.356,1578182876.3750682
575.7,4.356,1578182876.4413016
574.2,4.356,1578182876.5072215
576.6,4.356,1578182876.5722165
574.2,4.356,1578182876.6380935
575.5,4.356,1578182876.703986
575.7,4.356,1578182876.770281
574.2,4.356,1578182876.8360653
577.0,4.356,1578182876.901694
574.9,4.356,1578182876.9668796
575.4,4.356,1578182877.0326722
576.2,4.356,1578182877.0983424
573.9,4.356,1578182877.1643267
576.3000000000001,4.356,1578182877.2303205
574.9,4.356,1578182877.295781
574.8000000000001,4.356,1578182877.361531
576.5,4.356,1578182877.4273937
574.2,4.356,1578182877.4926648
576.0,4.356,1578182877.5584567
575.0,4.356,1578182877.6246014
574.8000000000001,4.356,1578182877.6903715
576.5,4.356,1578182877.7562633
573.8000000000001,4.356,1578182877.8214266
575.8000000000001,4.356,1578182877.8879921
575.2,4.356,1578182877.9539905
574.2,4.356,1578182878.0191083
576.5,4.356,1578182878.085002
574.4,4.356,1578182878.1509972
575.5,4.356,1578182878.2169895
575.8000000000001,4.356,1578182878.281773
574.0,4.356,1578182878.347969
576.5,4.356,1578182878.4137456
574.3000000000001,4.356,1578182878.479387
575.5,4.356,1578182878.5446298
576.2,4.356,1578182878.6103883
573.8000000000001,4.356,1578182878.6772544
576.7,4.356,1578182878.7426016
574.8000000000001,4.356,1578182878.8083587
575.2,4.356,1578182878.8735142
576.6,4.356,1578182878.9393768
574.0,4.356,1578182879.0054286
576.1,4.356,1578182879.071404
576.9,4.356,1578182879.1371536
575.1,4.356,1578182879.2028565
578.2,4.356,1578182879.2680738
574.1,4.356,1578182879.333764
576.2,4.356,1578182879.4004838
575.5,4.356,1578182879.4655066
574.4,4.356,1578182879.5314963
576.7,4.356,1578182879.5972521
574.3000000000001,4.356,1578182879.6633182
575.6,4.356,1578182879.7292452
575.5,4.356,1578182879.7945995
574.3000000000001,4.356,1578182879.8604465
576.7,4.356,1578182879.9263885
574.2,4.356,1578182879.9915974
575.3000000000001,4.356,1578182880.0576212
575.8000000000001,4.356,1578182880.1236153
573.7,4.356,1578182880.1893024
576.9,4.356,1578182880.2551475
574.7,4.356,1578182880.320268
575.2,4.356,1578182880.3860862
576.6,4.356,1578182880.4518075
573.9,4.356,1578182880.5181386
576.1,4.356,1578182880.5838442
575.2,4.356,1578182880.6496644
574.9,4.356,1578182880.7151232
576.6,4.356,1578182880.7805786
573.9,4.356,1578182880.8446465
575.9,4.356,1578182880.91044
575.2,4.356,1578182880.9765098
574.4,4.356,1578182881.0419059
576.5,4.356,1578182881.107598
574.1,4.356,1578182881.1733782
575.9,4.356,1578182881.239365
575.4,4.356,1578182881.3053067
574.2,4.356,1578182881.3711872
576.6,4.356,1578182881.4364913
574.1,4.356,1578182881.502389
575.4,4.356,1578182881.5697303
575.8000000000001,4.356,1578182881.6354377
574.1,4.356,1578182881.7016819
576.6,4.356,1578182881.7676203
574.8000000000001,4.356,1578182881.8328235
575.3000000000001,4.356,1578182881.8982725
576.0,4.356,1578182881.9645152
573.7,4.356,1578182882.0300176
576.7,4.356,1578182882.096402
575.0,4.356,1578182882.1618824
574.8000000000001,4.356,1578182882.2269638
576.7,4.356,1578182882.2929215
574.0,4.356,1578182882.3593543
576.1,4.356,1578182882.424921
575.0,4.356,1578182882.4909313
574.7,4.356,1578182882.5560522
576.8000000000001,4.356,1578182882.62168
574.1,4.356,1578182882.6894338
576.0,4.356,1578182882.7537608
575.2,4.356,1578182882.8187804
574.3000000000001,4.356,1578182882.8850887
576.5,4.356,1578182882.9511802
574.2,4.356,1578182883.0166945
576.0,4.356,1578182883.0818195
575.7,4.356,1578182883.148151
573.9,4.356,1578182883.2141464
576.8000000000001,4.356,1578182883.2798083
574.6,4.356,1578182883.345088
575.3000000000001,4.356,1578182883.410564
576.2,4.356,1578182883.4766443
573.9,4.356,1578182883.5421035
576.7,4.356,1578182883.6084526
574.9,4.356,1578182883.673728
575.3000000000001,4.356,1578182883.7398255
576.2,4.356,1578182883.8052166
574.1,4.356,1578182883.8715272
576.2,4.356,1578182883.936931
575.3000000000001,4.356,1578182884.002923
574.9,4.356,1578182884.0685227
576.4,4.356,1578182884.1337478
576.2,4.356,1578182884.1996863
593.9,4.356,1578182884.2661438
575.2,4.356,1578182884.331728
574.5,4.356,1578182884.3967707
576.5,4.356,1578182884.4629278
574.0,4.356,1578182884.5282705
575.6,4.356,1578182884.595104
575.5,4.356,1578182884.6600893
574.1,4.356,1578182884.726103
576.8000000000001,4.356,1578182884.7921605
574.5,4.356,1578182884.857667
579.1,4.356,1578182884.9227834
575.8000000000001,4.356,1578182884.988604
573.7,4.356,1578182885.0550945
576.5,4.356,1578182885.1207883
574.8000000000001,4.356,1578182885.186053
574.9,4.356,1578182885.252288
576.3000000000001,4.356,1578182885.3183532
573.9,4.356,1578182885.3839948
576.8000000000001,4.356,1578182885.4489472
575.0,4.356,1578182885.515167
575.0,4.356,1578182885.5805607
576.5,4.356,1578182885.6460948
573.9,4.356,1578182885.7121482
576.1,4.356,1578182885.7784827
575.7,4.356,1578182885.8433979
574.8000000000001,4.356,1578182885.909999
576.7,4.356,1578182885.9751132
574.2,4.356,1578182886.0416195
575.8000000000001,4.356,1578182886.1069224
575.7,4.356,1578182886.1727881
574.4,4.356,1578182886.2382736
576.8000000000001,4.356,1578182886.304404
574.1,4.356,1578182886.3696187
575.5,4.356,1578182886.4352386
575.9,4.356,1578182886.5016809
574.0,4.356,1578182886.566904
576.6,4.356,1578182886.6330488
574.8000000000001,4.356,1578182886.6985939
575.1,4.356,1578182886.7640097
576.1,4.356,1578182886.830607
574.2,4.356,1578182886.895675
576.4,4.356,1578182886.9616544
574.8000000000001,4.356,1578182887.0278406
574.9,4.356,1578182887.0928707
576.8000000000001,4.356,1578182887.1590266
573.9,4.356,1578182887.2245245
576.4,4.356,1578182887.290802
575.1,4.356,1578182887.3560238
574.9,4.356,1578182887.4222257
577.0,4.356,1578182887.4878
574.2,4.356,1578182887.554022
575.9,4.356,1578182887.61942
575.3000000000001,4.356,1578182887.6855693
574.4,4.356,1578182887.7509265
576.9,4.356,1578182887.8162444
574.7,4.356,1578182887.8827972
576.0,4.356,1578182887.948378
575.7,4.356,1578182888.014029
574.1,4.356,1578182888.0799892
576.7,4.356,1578182888.1450527
574.6,4.356,1578182888.2111804
575.6,4.356,1578182888.2771258
576.3000000000001,4.356,1578182888.3419843
573.9,4.356,1578182888.4082553
576.7,4.356,1578182888.4741926
575.1,4.356,1578182888.539714
575.0,4.356,1578182888.6054
576.4,4.356,1578182888.6717134
573.8000000000001,4.356,1578182888.7366917
576.2,4.356,1578182888.8022654
575.1,4.356,1578182888.8684528
575.2,4.356,1578182888.9345021
576.5,4.356,1578182888.9998918
573.9,4.356,1578182889.0654807
576.0,4.356,1578182889.1316876
575.5,4.356,1578182889.1972282
578.1,4.356,1578182889.2634034
576.7,4.356,1578182889.3292124
574.5,4.356,1578182889.3941953
575.7,4.356,1578182889.4605348
575.7,4.356,1578182889.5266185
574.4,4.356,1578182889.5918958
576.7,4.356,1578182889.6578197
574.3000000000001,4.356,1578182889.722907
575.5,4.356,1578182889.7895005
576.0,4.356,1578182889.855281
574.1,4.356,1578182889.9205623
577.2,4.356,1578182889.9865687
574.9,4.356,1578182890.051739
575.1,4.356,1578182890.1183782
576.2,4.356,1578182890.1832292
574.0,4.356,1578182890.2495804
576.5,4.356,1578182890.315077
575.1,4.356,1578182890.3808637
574.8000000000001,4.356,1578182890.4461486
576.7,4.356,1578182890.512654
573.9,4.356,1578182890.577674
576.2,4.356,1578182890.6444566
575.5,4.356,1578182890.709546
574.7,4.356,1578182890.775027
576.7,4.356,1578182890.8411374
574.0,4.356,1578182890.9065633
576.2,4.356,1578182890.973002
575.6,4.356,1578182891.0386794
574.3000000000001,4.356,1578182891.104018
576.7,4.356,1578182891.1694934
574.2,4.356,1578182891.2357705
575.6,4.356,1578182891.3009007
575.7,4.356,1578182891.3673394
574.1,4.356,1578182891.4327986
576.8000000000001,4.356,1578182891.4989257
574.7,4.356,1578182891.5640323
575.4,4.356,1578182891.6306818
576.5,4.356,1578182891.6961033
574.1,4.356,1578182891.7621398
576.8000000000001,4.356,1578182891.8274312
575.0,4.356,1578182891.8927052
574.9,4.356,1578182891.9594896
576.7,4.356,1578182892.0249376
574.2,4.356,1578182892.0909135
576.3000000000001,4.356,1578182892.1563885
575.1,4.356,1578182892.222184
574.8000000000001,4.356,1578182892.2872596
576.5,4.356,1578182892.3536897
574.0,4.356,1578182892.4197116
575.9,4.356,1578182892.4856005
575.4,4.356,1578182892.5505886
574.4,4.356,1578182892.6165886
576.8000000000001,4.356,1578182892.681722
574.1,4.356,1578182892.7484882
575.6,4.356,1578182892.8141499
575.9,4.356,1578182892.879457
574.1,4.356,1578182892.9455886
577.0,4.356,1578182893.0115964
574.7,4.356,1578182893.0765972
575.7,4.356,1578182893.142928
576.4,4.356,1578182893.2082727
573.9,4.356,1578182893.2740219
576.7,4.356,1578182893.3400095
574.8000000000001,4.356,1578182893.4051776
575.0,4.356,1578182893.4716992
576.3000000000001,4.356,1578182893.537197
574.0,4.356,1578182893.6031954
576.5,4.356,1578182893.6683884
575.2,4.356,1578182893.7345605
574.9,4.356,1578182893.7999687
576.8000000000001,4.356,1578182893.8663225
574.3000000000001,4.356,1578182893.9316835
575.9,4.356,1578182893.9971478
575.2,4.356,1578182894.0892785
575.1,4.356,1578182894.126764
576.9,4.356,1578182894.1925278
574.2,4.356,1578182894.2589028
575.8000000000001,4.356,1578182894.3242276
575.6,4.356,1578182894.3901207
574.2,4.356,1578182894.4560351
576.6,4.356,1578182894.5218434
574.3000000000001,4.356,1578182894.5875275
575.5,4.356,1578182894.6535213
575.8000000000001,4.356,1578182894.7194686
574.2,4.356,1578182894.78662
576.9,4.356,1578182894.851805
574.6,4.356,1578182894.917846
575.3000000000001,4.356,1578182894.9836905
577.0,4.356,1578182895.048887
574.0,4.356,1578182895.1151633
577.9,4.356,1578182895.1813014
574.9,4.356,1578182895.2471178
575.0,4.356,1578182895.3119495
576.5,4.356,1578182895.3783731
574.1,4.356,1578182895.4434724
576.5,4.356,1578182895.5101128
575.6,4.356,1578182895.5751598
574.7,4.356,1578182895.6411514
576.8000000000001,4.356,1578182895.7065585
574.3000000000001,4.356,1578182895.7727842
576.1,4.356,1578182895.8383589
575.7,4.356,1578182895.9038348
574.6,4.356,1578182895.9704823
576.8000000000001,4.356,1578182896.0353844
574.3000000000001,4.356,1578182896.1016471
575.7,4.356,1578182896.1676733
576.0,4.356,1578182896.2331603
574.2,4.356,1578182896.2984366
577.1,4.356,1578182896.364504
574.5,4.356,1578182896.4296787
575.3000000000001,4.356,1578182896.4964795
576.1,4.356,1578182896.5617058
573.9,4.356,1578182896.627999
576.6,4.356,1578182896.693032
574.8000000000001,4.356,1578182896.758454
575.1,4.356,1578182896.8248835
576.8000000000001,4.356,1578182896.8899384
573.9,4.356,1578182896.9561431
576.1,4.356,1578182897.021689
575.5,4.356,1578182897.0878181
574.8000000000001,4.356,1578182897.1540325
576.7,4.356,1578182897.219319
574.2,4.356,1578182897.2846475
576.3000000000001,4.356,1578182897.350714
575.5,4.356,1578182897.4161403
574.6,4.356,1578182897.4823635
577.0,4.356,1578182897.5475996
574.2,4.356,1578182897.6140668
576.0,4.356,1578182897.6793811
575.9,4.356,1578182897.7450726
574.5,4.356,1578182897.8107045
577.0,4.356,1578182897.8767235
574.7,4.356,1578182897.942919
575.5,4.356,1578182898.0087159
576.6,4.356,1578182898.074058
574.2,4.356,1578182898.1395147
576.9,4.356,1578182898.2059193
574.9,4.356,1578182898.2710915
575.5,4.356,1578182898.337485
576.3000000000001,4.356,1578182898.4029543
574.0,4.356,1578182898.4690323
576.3000000000001,4.356,1578182898.534371
575.0,4.356,1578182898.6005914
574.8000000000001,4.356,1578182898.665618
576.7,4.356,1578182898.7320507
574.1,4.356,1578182898.7976475
576.2,4.356,1578182898.862808
575.7,4.356,1578182898.9293537
574.5,4.356,1578182898.9944282
576.6,4.356,1578182899.060812
574.0,4.356,1578182899.1262407
576.0,4.356,1578182899.1922657
575.9,4.356,1578182899.2576256
574.7,4.356,1578182899.323133
577.0,4.356,1578182899.3894484
574.3000000000001,4.356,1578182899.4550562
575.6,4.356,1578182899.5202427
576.0,4.356,1578182899.5861337
574.1,4.356,1578182899.652329
576.8000000000001,4.356,1578182899.7174163
574.7,4.356,1578182899.7839432
575.5,4.356,1578182899.8494093
576.6,4.356,1578182899.9150133
574.4,4.356,1578182899.981043
576.6,4.356,1578182900.0466106
575.2,4.356,1578182900.1120162
575.1,4.356,1578182900.1782851
576.6,4.356,1578182900.243778
574.1,4.356,1578182900.3101368
576.7,4.356,1578182900.3753846
575.2,4.356,1578182900.4406734
574.6,4.356,1578182900.506804
576.8000000000001,4.356,1578182900.5722306
574.0,4.356,1578182900.6384242
575.9,4.356,1578182900.704596
575.5,4.356,1578182900.76971
574.4,4.356,1578182900.8353562
576.8000000000001,4.356,1578182900.901737
574.4,4.356,1578182900.9671526
575.9,4.356,1578182901.0334067
576.1,4.356,1578182901.0988896
574.2,4.356,1578182901.1640785
576.7,4.356,1578182901.2305593
574.8000000000001,4.356,1578182901.2955437
575.7,4.356,1578182901.3620613
576.4,4.356,1578182901.4273248
574.0,4.356,1578182901.4935613
577.1,4.356,1578182901.558693
575.2,4.356,1578182901.6242404
575.2,4.356,1578182901.690602
576.5,4.356,1578182901.7560396
574.2,4.356,1578182901.822168
576.5,4.356,1578182901.8878584
575.4,4.356,1578182901.9529438
575.3000000000001,4.356,1578182902.0195112
577.2,4.356,1578182902.085037
574.4,4.356,1578182902.150524
576.1,4.356,1578182902.2166839
575.6,4.356,1578182902.2818127
574.7,4.356,1578182902.3480623
576.8000000000001,4.356,1578182902.4139733
574.5,4.356,1578182902.4790816
575.8000000000001,4.356,1578182902.5451274
575.7,4.356,1578182902.6117415
574.5,4.356,1578182902.6769955
576.9,4.356,1578182902.7420788
574.8000000000001,4.356,1578182902.808421
575.8000000000001,4.356,1578182902.8738258
576.5,4.356,1578182902.9399107
574.2,4.356,1578182903.0060446
576.7,4.356,1578182903.0714798
575.1,4.356,1578182903.1372604
575.2,4.356,1578182903.2026181
