mA,V,time
579.1,4.464,1579039027.0374632
580.1,4.464,1579039027.1027057
580.7,4.464,1579039027.1685843
581.9,4.464,1579039027.2343538
579.3000000000001,4.464,1579039027.300042
581.9,4.464,1579039027.3662808
580.5,4.464,1579039027.4319637
580.4,4.464,1579039027.497935
582.2,4.464,1579039027.5635228
579.6,4.464,1579039027.6294131
581.7,4.464,1579039027.6950617
581.1,4.464,1579039027.760851
580.1,4.464,1579039027.8270671
582.4,4.464,1579039027.892207
579.7,4.464,1579039027.960062
581.6,4.464,1579039028.0237842
581.2,4.464,1579039028.090893
579.9,4.464,1579039028.1573515
582.5,4.464,1579039028.2232077
579.8000000000001,4.464,1579039028.2883704
581.1,4.464,1579039028.3543255
581.4,4.464,1579039028.4206583
579.5,4.464,1579039028.485469
582.3000000000001,4.464,1579039028.5516596
580.0,4.464,1579039028.617736
581.0,4.464,1579039028.6828237
581.8000000000001,4.464,1579039028.7487218
579.6,4.464,1579039028.814905
582.2,4.464,1579039028.8810322
580.7,4.464,1579039028.94609
580.9,4.464,1579039029.012097
582.6,4.464,1579039029.0785398
579.5,4.464,1579039029.1436741
582.3000000000001,4.464,1579039029.2096982
580.8000000000001,4.464,1579039029.2756798
580.1,4.464,1579039029.3405335
582.3000000000001,4.464,1579039029.406748
579.9,4.464,1579039029.4727528
581.7,4.464,1579039029.5377638
581.1,4.464,1579039029.6039033
580.1,4.464,1579039029.6694984
582.4,4.464,1579039029.7355106
580.0,4.464,1579039029.8016965
581.4,4.464,1579039029.8676624
581.6,4.464,1579039029.9328163
579.8000000000001,4.464,1579039029.9990058
582.8000000000001,4.464,1579039030.0639503
580.1,4.464,1579039030.1298816
581.0,4.464,1579039030.196213
581.9,4.464,1579039030.262218
579.6,4.464,1579039030.3273525
582.4,4.464,1579039030.393208
580.3000000000001,4.464,1579039030.459652
580.7,4.464,1579039030.524531
581.8000000000001,4.464,1579039030.5905375
579.5,4.464,1579039030.6568801
582.0,4.464,1579039030.7217898
580.6,4.464,1579039030.7879064
580.3000000000001,4.464,1579039030.854014
582.5,4.464,1579039030.9194303
579.6,4.464,1579039030.9852283
581.7,4.464,1579039031.0510783
581.3000000000001,4.464,1579039031.1174111
580.4,4.464,1579039031.1822639
582.6,4.464,1579039031.248529
579.6,4.464,1579039031.3145118
581.5,4.464,1579039031.3794665
581.5,4.464,1579039031.4455383
579.8000000000001,4.464,1579039031.5118687
582.4,4.464,1579039031.576738
580.0,4.464,1579039031.6429522
581.1,4.464,1579039031.7084606
581.7,4.464,1579039031.7745194
579.7,4.464,1579039031.8405554
582.8000000000001,4.464,1579039031.906527
580.9,4.464,1579039031.971858
581.1,4.464,1579039032.037229
581.8000000000001,4.464,1579039032.1033185
579.7,4.464,1579039032.169473
582.3000000000001,4.464,1579039032.2343967
580.6,4.464,1579039032.300525
580.7,4.464,1579039032.366636
582.3000000000001,4.464,1579039032.4319124
579.8000000000001,4.464,1579039032.4984748
582.2,4.464,1579039032.5632691
581.0,4.464,1579039032.629582
580.0,4.464,1579039032.695851
582.6,4.464,1579039032.76074
579.8000000000001,4.464,1579039032.8267262
581.4,4.464,1579039032.8927739
581.1,4.464,1579039032.9590194
579.8000000000001,4.464,1579039033.0240057
582.2,4.464,1579039033.0899262
579.7,4.464,1579039033.156175
581.4,4.464,1579039033.2216659
581.5,4.464,1579039033.2876918
579.8000000000001,4.464,1579039033.35276
582.3000000000001,4.464,1579039033.418711
580.2,4.464,1579039033.485258
581.3000000000001,4.464,1579039033.5501814
581.8000000000001,4.464,1579039033.6162617
579.8000000000001,4.464,1579039033.6823964
582.2,4.464,1579039033.7476993
580.4,4.464,1579039033.813935
580.8000000000001,4.464,1579039033.878968
582.3000000000001,4.464,1579039033.9450915
579.4,4.464,1579039034.0113583
581.9,4.464,1579039034.0762377
580.7,4.464,1579039034.142369
580.2,4.464,1579039034.2085004
582.5,4.464,1579039034.2738693
579.4,4.464,1579039034.3399737
581.5,4.464,1579039034.4050145
581.3000000000001,4.464,1579039034.4709523
579.9,4.464,1579039034.5374448
582.1,4.464,1579039034.602306
579.6,4.464,1579039034.6684835
581.2,4.464,1579039034.734714
581.3000000000001,4.464,1579039034.7996032
579.9,4.464,1579039034.8656833
582.2,4.464,1579039034.931823
580.0,4.464,1579039034.9971392
580.8000000000001,4.464,1579039035.063066
581.4,4.464,1579039035.1289477
579.7,4.464,1579039035.1949897
582.4,4.464,1579039035.260447
580.1,4.464,1579039035.3264456
580.6,4.464,1579039035.3917105
582.3000000000001,4.464,1579039035.457627
579.4,4.464,1579039035.5240662
581.8000000000001,4.464,1579039035.5889997
580.6,4.464,1579039035.6552007
580.3000000000001,4.464,1579039035.7206066
582.1,4.464,1579039035.7876678
579.7,4.464,1579039035.8525
581.8000000000001,4.464,1579039035.9177432
580.9,4.464,1579039035.9835453
580.2,4.464,1579039036.049374
582.4,4.464,1579039036.1150284
580.0,4.464,1579039036.1810834
581.3000000000001,4.464,1579039036.2472079
581.5,4.464,1579039036.3130245
579.8000000000001,4.464,1579039036.3790636
582.2,4.464,1579039036.4449482
580.1,4.464,1579039036.5096853
581.1,4.464,1579039036.5759203
581.4,4.464,1579039036.6416023
579.5,4.464,1579039036.7079778
582.2,4.464,1579039036.772802
580.3000000000001,4.464,1579039036.8387525
581.3000000000001,4.464,1579039036.904746
582.2,4.464,1579039036.9705613
579.3000000000001,4.464,1579039037.0367377
582.0,4.464,1579039037.1026287
580.7,4.464,1579039037.1683993
580.9,4.464,1579039037.2331398
582.2,4.464,1579039037.2992601
579.8000000000001,4.464,1579039037.3648908
581.8000000000001,4.464,1579039037.4304676
581.1,4.464,1579039037.4961815
580.4,4.464,1579039037.5626092
582.5,4.464,1579039037.6283507
579.9,4.464,1579039037.6940541
581.9,4.464,1579039037.759463
581.4,4.464,1579039037.8250802
580.5,4.464,1579039037.8912058
582.8000000000001,4.464,1579039037.9570608
580.5,4.464,1579039038.0230327
581.4,4.464,1579039038.0892076
581.8000000000001,4.464,1579039038.1549027
579.8000000000001,4.464,1579039038.2205365
582.5,4.464,1579039038.2858741
580.2,4.464,1579039038.351609
581.6,4.464,1579039038.4175682
581.7,4.464,1579039038.4836624
579.7,4.464,1579039038.5489035
582.4,4.464,1579039038.6148643
580.4,4.464,1579039038.6805604
580.9,4.464,1579039038.7467577
582.1,4.464,1579039038.8126013
579.5,4.464,1579039038.8783433
582.5,4.464,1579039038.9440117
581.0,4.464,1579039039.0093553
580.8000000000001,4.464,1579039039.075117
582.8000000000001,4.464,1579039039.1413147
579.5,4.464,1579039039.2073672
581.6,4.464,1579039039.2725556
581.0,4.464,1579039039.3383367
580.0,4.464,1579039039.4039874
582.7,4.464,1579039039.46997
580.1,4.464,1579039039.5360243
581.4,4.464,1579039039.6018207
581.5,4.464,1579039039.6667376
579.8000000000001,4.464,1579039039.7326643
582.4,4.464,1579039039.7983568
580.4,4.464,1579039039.8643706
581.5,4.464,1579039039.9304495
581.8000000000001,4.464,1579039039.9964426
579.7,4.464,1579039040.0613666
582.6,4.464,1579039040.1271746
580.6,4.464,1579039040.1929226
580.9,4.464,1579039040.259355
582.3000000000001,4.464,1579039040.3251197
579.6,4.464,1579039040.3902743
582.3000000000001,4.464,1579039040.4562006
581.0,4.464,1579039040.5220716
580.7,4.464,1579039040.5881016
582.5,4.464,1579039040.653754
579.7,4.464,1579039040.7195942
581.7,4.464,1579039040.7849166
580.9,4.464,1579039040.8506317
580.3000000000001,4.464,1579039040.916704
582.6,4.464,1579039040.9826155
579.7,4.464,1579039041.0483615
581.7,4.464,1579039041.114534
581.5,4.464,1579039041.1804178
579.9,4.464,1579039041.246126
582.5,4.464,1579039041.3120105
579.8000000000001,4.464,1579039041.376881
581.1,4.464,1579039041.4426496
581.7,4.464,1579039041.5092754
579.6,4.464,1579039041.5741553
582.3000000000001,4.464,1579039041.6403704
580.2,4.464,1579039041.7061267
581.0,4.464,1579039041.771682
581.7,4.464,1579039041.838254
579.7,4.464,1579039041.904016
582.4,4.464,1579039041.9689193
580.8000000000001,4.464,1579039042.0348299
580.5,4.464,1579039042.1008043
582.2,4.464,1579039042.1668634
579.6,4.464,1579039042.232726
582.0,4.464,1579039042.298529
580.8000000000001,4.464,1579039042.3639135
580.4,4.464,1579039042.4298625
582.5,4.464,1579039042.4959512
579.7,4.464,1579039042.5617685
581.4,4.464,1579039042.627064
581.3000000000001,4.464,1579039042.6927805
580.4,4.464,1579039042.7584443
582.2,4.464,1579039042.8247035
579.8000000000001,4.464,1579039042.8906136
581.2,4.464,1579039042.9556267
581.6,4.464,1579039043.021599
579.8000000000001,4.464,1579039043.0877197
582.4,4.464,1579039043.15278
580.6,4.464,1579039043.2188597
580.8000000000001,4.464,1579039043.2847633
581.8000000000001,4.464,1579039043.3505266
579.5,4.464,1579039043.4165802
582.2,4.464,1579039043.4825659
580.3000000000001,4.464,1579039043.548421
581.2,4.464,1579039043.6132636
581.9,4.464,1579039043.6793942
579.8000000000001,4.464,1579039043.745301
581.8000000000001,4.464,1579039043.8113976
581.1,4.464,1579039043.876555
580.5,4.464,1579039043.942674
582.2,4.464,1579039044.0085006
579.4,4.464,1579039044.073577
581.7,4.464,1579039044.1404734
581.0,4.464,1579039044.2054665
580.2,4.464,1579039044.271472
582.5,4.464,1579039044.3373528
579.5,4.464,1579039044.4028559
581.4,4.464,1579039044.4681418
581.1,4.464,1579039044.5338938
579.7,4.464,1579039044.6003122
582.7,4.464,1579039044.6661632
580.1,4.464,1579039044.7321067
580.9,4.464,1579039044.7980776
581.4,4.464,1579039044.863787
579.4,4.464,1579039044.9294665
582.3000000000001,4.464,1579039044.994847
580.0,4.464,1579039045.0605545
581.0,4.464,1579039045.1264172
581.8000000000001,4.464,1579039045.1924713
579.7,4.464,1579039045.258242
582.5,4.464,1579039045.3240108
580.3000000000001,4.464,1579039045.3892107
580.6,4.464,1579039045.4548447
582.4,4.464,1579039045.5208611
579.3000000000001,4.464,1579039045.586935
581.7,4.464,1579039045.6527228
581.4,4.464,1579039045.7184963
579.9,4.464,1579039045.7837267
582.3000000000001,4.464,1579039045.8495495
579.6,4.464,1579039045.9155755
581.9,4.464,1579039045.981508
581.2,4.464,1579039046.0471003
580.0,4.464,1579039046.1127417
582.1,4.464,1579039046.1785176
579.8000000000001,4.464,1579039046.2446904
581.3000000000001,4.464,1579039046.310647
581.6,4.464,1579039046.3756518
579.6,4.464,1579039046.441555
