task,time
start v1 0,1579039122.0815861
click,1579039127.3103988
click,1579039129.5287056
click,1579039131.8562777
click,1579039134.2307181
click,1579039136.5269783
click,1579039137.7611327
click,1579039138.72959
click,1579039141.0884783
click,1579039143.19738
click,1579039146.1341724
stop v1 0,1579039149.2115116
start v2 0,1579039179.2236257
click,1579039184.3941941
click,1579039185.0191412
click,1579039185.6282835
click,1579039186.2144613
click,1579039186.808085
click,1579039187.3860567
click,1579039187.9796674
click,1579039188.5732787
click,1579039189.2450147
click,1579039189.8542345
click,1579039191.1664195
click,1579039191.7600186
click,1579039192.3692672
click,1579039192.962873
click,1579039193.6033437
click,1579039194.1968808
click,1579039194.7749417
click,1579039195.3685899
click,1579039195.9777536
click,1579039196.587019
click,1579039197.1961727
click,1579039197.7897828
click,1579039198.3678572
click,1579039198.961457
click,1579039199.5550451
click,1579039200.1173916
click,1579039200.711046
click,1579039201.304598
click,1579039201.9143116
click,1579039202.5699844
click,1579039203.1636155
click,1579039203.757201
click,1579039204.3352137
click,1579039204.94435
stop v2 0,1579039206.3659163
start v1 1,1579039236.38108
click,1579039241.5119634
click,1579039243.6497002
click,1579039245.223331
click,1579039247.1808426
click,1579039249.1647558
click,1579039251.4454687
click,1579039254.2416122
click,1579039255.8662755
click,1579039258.3813405
click,1579039260.755779
stop v1 1,1579039264.739137
start v2 1,1579039294.7478008
click,1579039299.9339814
click,1579039300.5745487
click,1579039301.1681423
click,1579039301.761753
click,1579039302.355361
click,1579039302.9333706
click,1579039303.5269544
click,1579039304.104942
click,1579039304.698576
click,1579039305.260927
click,1579039305.88202
click,1579039306.4911757
click,1579039307.0847862
click,1579039307.7097216
click,1579039308.3033257
click,1579039308.9125803
click,1579039309.5217135
click,1579039310.0997837
click,1579039310.7090085
click,1579039311.3963473
click,1579039312.5523093
click,1579039313.1615715
click,1579039313.7551677
click,1579039314.3487813
click,1579039314.942402
click,1579039315.5360036
click,1579039316.1296134
click,1579039316.7075973
click,1579039317.3012073
click,1579039317.894819
click,1579039318.4728105
click,1579039319.0819755
stop v2 1,1579039320.9096842
start v1 2,1579039350.918298
click,1579039356.0888786
click,1579039358.525881
click,1579039360.4785483
click,1579039362.6030474
click,1579039364.4619372
click,1579039366.3954456
click,1579039368.6292958
click,1579039371.034988
click,1579039373.1283402
click,1579039375.6433475
stop v1 2,1579039378.95499
start v2 2,1579039408.9636283
click,1579039414.1342156
click,1579039414.8216524
click,1579039415.4464777
click,1579039416.0713274
click,1579039416.6805608
click,1579039417.2897909
click,1579039417.9302862
click,1579039418.570667
click,1579039419.1487417
click,1579039420.2577696
click,1579039420.8513799
click,1579039421.445036
click,1579039422.0386772
click,1579039422.6478827
click,1579039423.2883086
click,1579039423.8507538
click,1579039424.4443789
click,1579039425.053597
click,1579039425.662751
click,1579039426.2375014
click,1579039426.893599
click,1579039427.4873435
click,1579039428.0963626
click,1579039428.7056327
click,1579039429.299299
click,1579039429.8928928
click,1579039430.502123
click,1579039431.0956657
click,1579039431.6893451
click,1579039432.2829564
click,1579039432.9078114
click,1579039433.548284
stop v2 2,1579039435.094721
start v1 3,1579039465.1033692
click,1579039470.305181
click,1579039472.1954577
click,1579039474.1168623
click,1579039475.4915357
click,1579039477.6159604
click,1579039480.9433038
click,1579039483.4584165
click,1579039486.3907776
click,1579039488.0935283
click,1579039489.9212272
stop v1 3,1579039493.2329159
start v2 3,1579039523.2414796
click,1579039528.4433796
click,1579039529.0994818
click,1579039529.693164
click,1579039530.2867491
click,1579039530.8803828
click,1579039531.4739988
click,1579039532.0676048
click,1579039532.6612124
click,1579039533.2548263
click,1579039533.848432
click,1579039534.4263525
click,1579039534.988809
click,1579039535.5980206
click,1579039536.191576
click,1579039536.8164868
click,1579039537.4419165
click,1579039538.034948
click,1579039538.6129363
click,1579039539.222097
click,1579039539.8157086
click,1579039540.4249403
click,1579039541.0030043
click,1579039541.6121624
click,1579039542.1901515
click,1579039542.7838361
click,1579039543.3774421
click,1579039543.971057
click,1579039544.6583896
click,1579039545.2675521
click,1579039545.889617
click,1579039546.467648
click,1579039547.0300093
click,1579039547.6236181
click,1579039548.1859887
stop v2 3,1579039549.6547277
