mA,V,time
502.3,4.54,1566676618.078271
499.40000000000003,4.54,1566676618.1444907
499.90000000000003,4.54,1566676618.2095892
497.1,4.54,1566676618.27575
499.70000000000005,4.54,1566676618.341404
500.1,4.54,1566676618.407508
498.1,4.54,1566676618.4724746
499.1,4.54,1566676618.5386279
498.1,4.54,1566676618.60373
499.5,4.54,1566676618.669812
499.70000000000005,4.54,1566676618.7359173
498.20000000000005,4.54,1566676618.8009531
499.40000000000003,4.54,1566676618.8670747
498.20000000000005,4.54,1566676618.933012
499.5,4.54,1566676618.997954
500.20000000000005,4.54,1566676619.0640242
497.8,4.54,1566676619.130089
498.40000000000003,4.54,1566676619.1950748
499.20000000000005,4.54,1566676619.2612047
498.6,4.54,1566676619.327195
497.5,4.54,1566676619.3922732
499.0,4.54,1566676619.458337
499.6,4.54,1566676619.52442
499.70000000000005,4.54,1566676619.5894022
499.3,4.54,1566676619.6556003
498.5,4.54,1566676619.7208345
500.0,4.54,1566676619.7868173
499.5,4.54,1566676619.8529587
499.70000000000005,4.54,1566676619.9179661
497.8,4.54,1566676619.984093
498.1,4.54,1566676620.0501893
499.20000000000005,4.54,1566676620.115331
499.6,4.54,1566676620.1815474
499.0,4.54,1566676620.2466497
499.1,4.54,1566676620.3127527
499.1,4.54,1566676620.377832
499.5,4.54,1566676620.4439373
499.5,4.54,1566676620.5100715
498.1,4.54,1566676620.5751393
498.0,4.54,1566676620.6413162
500.6,4.54,1566676620.706222
500.40000000000003,4.54,1566676620.7724059
499.70000000000005,4.54,1566676620.838367
499.8,4.54,1566676620.903429
499.8,4.54,1566676620.9693842
497.20000000000005,4.54,1566676621.0356157
500.1,4.54,1566676621.1007757
498.5,4.54,1566676621.1669152
499.5,4.54,1566676621.231942
499.6,4.54,1566676621.2980943
498.5,4.54,1566676621.3641393
499.6,4.54,1566676621.4292896
500.0,4.54,1566676621.4954073
498.0,4.54,1566676621.560366
499.0,4.54,1566676621.6266224
499.3,4.54,1566676621.69168
499.8,4.54,1566676621.757758
500.6,4.54,1566676621.823847
499.90000000000003,4.54,1566676621.888819
498.20000000000005,4.54,1566676621.9549809
498.40000000000003,4.54,1566676622.0210755
498.8,4.54,1566676622.086091
499.0,4.54,1566676622.1522205
499.70000000000005,4.54,1566676622.2182388
499.90000000000003,4.54,1566676622.283347
497.90000000000003,4.54,1566676622.3495462
500.70000000000005,4.54,1566676622.4145741
499.90000000000003,4.54,1566676622.4806087
499.5,4.54,1566676622.5466585
499.20000000000005,4.54,1566676622.6117892
497.40000000000003,4.54,1566676622.6778173
498.0,4.54,1566676622.74392
497.40000000000003,4.54,1566676622.8088915
499.1,4.54,1566676622.8750439
499.5,4.54,1566676622.9400704
500.1,4.54,1566676623.0061593
499.90000000000003,4.54,1566676623.0723164
498.90000000000003,4.54,1566676623.1374545
499.6,4.54,1566676623.2036293
498.0,4.54,1566676623.2687314
497.6,4.54,1566676623.3349993
500.3,4.54,1566676623.3999507
500.1,4.54,1566676623.4660256
498.6,4.54,1566676623.532222
499.70000000000005,4.54,1566676623.5971105
500.3,4.54,1566676623.6632886
499.20000000000005,4.54,1566676623.7293298
499.3,4.54,1566676623.7943938
499.6,4.54,1566676623.8603568
499.6,4.54,1566676623.9264627
500.0,4.54,1566676623.9913414
500.1,4.54,1566676624.0575435
499.90000000000003,4.54,1566676624.1234748
500.0,4.54,1566676624.188474
497.8,4.54,1566676624.254547
499.20000000000005,4.54,1566676624.319762
499.20000000000005,4.54,1566676624.3857474
498.1,4.54,1566676624.4518807
497.90000000000003,4.54,1566676624.5168574
499.1,4.54,1566676624.5829535
500.3,4.54,1566676624.6493034
499.5,4.54,1566676624.7145731
498.40000000000003,4.54,1566676624.7796547
500.3,4.54,1566676624.8458192
500.5,4.54,1566676624.9119139
499.70000000000005,4.54,1566676624.9769495
499.1,4.54,1566676625.0431626
498.40000000000003,4.54,1566676625.1081915
499.70000000000005,4.54,1566676625.1744409
498.3,4.54,1566676625.2405856
499.90000000000003,4.54,1566676625.305643
499.70000000000005,4.54,1566676625.3719242
500.1,4.54,1566676625.4371407
499.3,4.54,1566676625.5032187
499.6,4.54,1566676625.568243
498.8,4.54,1566676625.6345139
499.70000000000005,4.54,1566676625.6995077
499.40000000000003,4.54,1566676625.7656212
500.1,4.54,1566676625.8317947
499.8,4.54,1566676625.8966904
498.1,4.54,1566676625.962804
499.90000000000003,4.54,1566676626.02888
498.20000000000005,4.54,1566676626.0939765
499.90000000000003,4.54,1566676626.1600082
