task,time
start v1 0,1566676710.744
click,1566676718.845
click,1566676720.017
click,1566676721.148
click,1566676722.243
click,1566676723.291
click,1566676724.388
click,1566676725.309
click,1566676726.22
click,1566676727.131
click,1566676728.07
click,1566676728.953
click,1566676729.868
click,1566676730.85
click,1566676731.805
click,1566676732.701
click,1566676733.617
click,1566676734.526
click,1566676735.5
click,1566676736.399
click,1566676737.301
click,1566676738.198
click,1566676739.087
stop v1 0,1566676744.658
start v2 0,1566676774.66
click,1566676784.988
click,1566676785.681
click,1566676786.275
click,1566676786.877
click,1566676787.461
click,1566676788.058
click,1566676788.682
click,1566676789.281
click,1566676789.891
click,1566676790.492
click,1566676791.087
click,1566676791.689
click,1566676792.279
click,1566676792.873
click,1566676793.453
click,1566676794.061
click,1566676794.686
click,1566676795.276
click,1566676795.872
click,1566676796.476
click,1566676797.086
click,1566676797.677
click,1566676798.325
click,1566676798.919
click,1566676799.517
click,1566676800.109
click,1566676800.707
click,1566676801.317
click,1566676801.901
click,1566676802.475
click,1566676803.065
click,1566676803.648
click,1566676804.23
click,1566676804.821
stop v2 0,1566676808.775
start v1 1,1566676838.777
click,1566676846.796
click,1566676847.901
click,1566676848.911
click,1566676849.881
click,1566676850.78
click,1566676851.694
click,1566676852.627
click,1566676853.628
click,1566676854.563
click,1566676855.503
click,1566676856.425
click,1566676857.329
click,1566676858.209
click,1566676859.121
click,1566676860.04
click,1566676860.937
click,1566676861.827
click,1566676862.723
click,1566676863.605
click,1566676864.491
click,1566676865.371
click,1566676866.261
stop v1 1,1566676870.189
start v2 1,1566676900.191
click,1566676908.214
click,1566676908.92
click,1566676909.518
click,1566676910.115
click,1566676910.717
click,1566676911.304
click,1566676911.93
click,1566676912.512
click,1566676913.097
click,1566676913.711
click,1566676914.299
click,1566676914.901
click,1566676915.492
click,1566676916.083
click,1566676916.689
click,1566676917.296
click,1566676917.881
click,1566676918.496
click,1566676919.078
click,1566676919.665
click,1566676920.262
click,1566676920.861
click,1566676921.457
click,1566676922.032
click,1566676922.63
click,1566676923.229
click,1566676923.812
click,1566676924.407
click,1566676924.991
click,1566676925.579
click,1566676926.192
click,1566676926.788
click,1566676927.362
click,1566676927.972
stop v2 1,1566676931.643
start v1 2,1566676961.646
click,1566676968.494
click,1566676969.566
click,1566676970.608
click,1566676971.608
click,1566676972.556
click,1566676973.567
click,1566676974.584
click,1566676975.497
click,1566676976.403
click,1566676977.315
click,1566676978.231
click,1566676979.132
click,1566676980.063
click,1566676980.978
click,1566676981.874
click,1566676982.811
click,1566676983.715
click,1566676984.615
click,1566676985.511
click,1566676986.395
click,1566676987.281
click,1566676988.16
stop v1 2,1566676992.124
start v2 2,1566677022.126
click,1566677029.586
click,1566677030.292
click,1566677030.905
click,1566677031.507
click,1566677032.109
click,1566677032.703
click,1566677033.309
click,1566677033.904
click,1566677034.502
click,1566677035.1
click,1566677035.706
click,1566677036.316
click,1566677036.934
click,1566677037.52
click,1566677038.123
click,1566677038.718
click,1566677039.308
click,1566677039.933
click,1566677040.521
click,1566677041.115
click,1566677041.699
click,1566677042.298
click,1566677042.902
click,1566677043.515
click,1566677044.103
click,1566677044.687
click,1566677045.278
click,1566677045.898
click,1566677046.499
click,1566677047.082
click,1566677047.663
click,1566677048.246
click,1566677048.833
click,1566677049.429
stop v2 2,1566677053.139
start v1 3,1566677083.141
click,1566677090.029
click,1566677091.08
click,1566677092.094
click,1566677093.036
click,1566677094.004
click,1566677095.038
click,1566677096.008
click,1566677096.976
click,1566677097.924
click,1566677098.824
click,1566677099.724
click,1566677100.607
click,1566677101.535
click,1566677102.419
click,1566677103.333
click,1566677104.218
click,1566677105.107
click,1566677105.985
click,1566677106.886
click,1566677107.787
click,1566677108.667
click,1566677109.557
stop v1 3,1566677113.511
start v2 3,1566677143.513
click,1566677150.863
click,1566677151.553
click,1566677152.177
click,1566677152.781
click,1566677153.398
click,1566677154.024
click,1566677154.632
click,1566677155.241
click,1566677155.838
click,1566677156.467
click,1566677157.077
click,1566677157.678
click,1566677158.277
click,1566677158.859
click,1566677159.439
click,1566677160.038
click,1566677160.628
click,1566677161.221
click,1566677161.796
click,1566677162.389
click,1566677162.97
click,1566677163.558
click,1566677164.158
click,1566677164.754
click,1566677165.357
click,1566677165.967
click,1566677166.561
click,1566677167.17
click,1566677167.757
click,1566677168.339
click,1566677168.937
click,1566677169.519
click,1566677170.1
click,1566677170.701
stop v2 3,1566677174.371
