mA,V,time
510.1,4.54,1566788466.3133633
508.40000000000003,4.54,1566788466.378706
507.40000000000003,4.54,1566788466.4442487
507.8,4.54,1566788466.5097344
510.0,4.54,1566788466.5769236
508.70000000000005,4.54,1566788466.6413245
510.0,4.54,1566788466.7067795
510.0,4.54,1566788466.7732985
509.8,4.54,1566788466.8386884
510.5,4.54,1566788466.9044616
508.8,4.54,1566788466.9699168
509.90000000000003,4.54,1566788467.0355306
510.5,4.54,1566788467.1010735
510.40000000000003,4.54,1566788467.166617
510.1,4.54,1566788467.233079
508.1,4.54,1566788467.2985914
509.5,4.54,1566788467.364129
509.8,4.54,1566788467.4296315
509.90000000000003,4.54,1566788467.4960554
509.20000000000005,4.54,1566788467.5614805
509.5,4.54,1566788467.62707
509.6,4.54,1566788467.6925285
509.3,4.54,1566788467.7580621
510.0,4.54,1566788467.8235998
510.5,4.54,1566788467.8901877
510.6,4.54,1566788467.9557483
510.6,4.54,1566788468.0212638
510.40000000000003,4.54,1566788468.0867522
509.8,4.54,1566788468.1523457
509.8,4.54,1566788468.217913
509.5,4.54,1566788468.2844384
507.5,4.54,1566788468.3498828
506.6,4.54,1566788468.4157233
508.70000000000005,4.54,1566788468.4814274
509.8,4.54,1566788468.546839
510.1,4.54,1566788468.612441
509.90000000000003,4.54,1566788468.6780744
509.5,4.54,1566788468.7436986
509.5,4.54,1566788468.8091528
508.8,4.54,1566788468.8757691
510.40000000000003,4.54,1566788468.941329
510.1,4.54,1566788469.0069425
510.40000000000003,4.54,1566788469.0724335
509.6,4.54,1566788469.1380544
510.5,4.54,1566788469.2035725
509.8,4.54,1566788469.2691464
508.40000000000003,4.54,1566788469.3386424
508.0,4.54,1566788469.4009666
507.90000000000003,4.54,1566788469.4664934
509.90000000000003,4.54,1566788469.532061
509.40000000000003,4.54,1566788469.597615
509.40000000000003,4.54,1566788469.6632
507.5,4.54,1566788469.7297828
509.20000000000005,4.54,1566788469.7944572
510.20000000000005,4.54,1566788469.860299
