mA,V,time
498.0,4.54,1566768648.3243327
496.0,4.54,1566768648.3903842
497.5,4.54,1566768648.456454
497.5,4.54,1566768648.5214827
497.3,4.54,1566768648.5883002
497.20000000000005,4.54,1566768648.6532981
497.1,4.54,1566768648.719309
496.70000000000005,4.54,1566768648.784116
497.1,4.54,1566768648.8499966
497.5,4.54,1566768648.9159167
495.0,4.54,1566768648.9820306
497.5,4.54,1566768649.0470932
497.70000000000005,4.54,1566768649.1130698
497.90000000000003,4.54,1566768649.1790748
497.0,4.54,1566768649.2439885
496.5,4.54,1566768649.3099637
496.40000000000003,4.54,1566768649.376061
496.6,4.54,1566768649.4421537
496.90000000000003,4.54,1566768649.507144
496.8,4.54,1566768649.5733433
497.5,4.54,1566768649.638289
496.5,4.54,1566768649.7044237
497.40000000000003,4.54,1566768649.7704308
496.5,4.54,1566768649.8354397
496.90000000000003,4.54,1566768649.9014294
497.3,4.54,1566768649.967691
497.20000000000005,4.54,1566768650.03274
496.90000000000003,4.54,1566768650.0987952
496.90000000000003,4.54,1566768650.1638966
497.5,4.54,1566768650.2299595
497.6,4.54,1566768650.2960522
497.20000000000005,4.54,1566768650.3609557
496.8,4.54,1566768650.4271536
497.20000000000005,4.54,1566768650.4923575
497.20000000000005,4.54,1566768650.558543
496.8,4.54,1566768650.6246428
496.70000000000005,4.54,1566768650.6897247
495.90000000000003,4.54,1566768650.755898
497.3,4.54,1566768650.820954
496.6,4.54,1566768650.8871634
496.70000000000005,4.54,1566768650.9532666
496.8,4.54,1566768651.0182626
497.40000000000003,4.54,1566768651.0844538
497.5,4.54,1566768651.1493838
497.8,4.54,1566768651.2155027
497.3,4.54,1566768651.281568
495.5,4.54,1566768651.346433
497.40000000000003,4.54,1566768651.4124846
497.1,4.54,1566768651.4786448
495.20000000000005,4.54,1566768651.543578
496.8,4.54,1566768651.6097586
497.1,4.54,1566768651.675777
497.40000000000003,4.54,1566768651.7408824
497.5,4.54,1566768651.8069773
497.20000000000005,4.54,1566768651.8729837
497.0,4.54,1566768651.9380395
497.3,4.54,1566768652.004013
497.5,4.54,1566768652.070177
496.90000000000003,4.54,1566768652.1351006
497.40000000000003,4.54,1566768652.2013931
494.6,4.54,1566768652.2665818
496.1,4.54,1566768652.3326116
497.3,4.54,1566768652.3977218
497.0,4.54,1566768652.4637756
497.20000000000005,4.54,1566768652.5298579
497.0,4.54,1566768652.5949898
496.20000000000005,4.54,1566768652.6611187
497.40000000000003,4.54,1566768652.7272007
497.20000000000005,4.54,1566768652.7923272
497.0,4.54,1566768652.8584778
497.3,4.54,1566768652.9234676
496.5,4.54,1566768652.9895706
497.40000000000003,4.54,1566768653.0556207
497.6,4.54,1566768653.1206238
497.0,4.54,1566768653.1867983
496.8,4.54,1566768653.2519162
496.40000000000003,4.54,1566768653.318138
496.6,4.54,1566768653.383256
496.70000000000005,4.54,1566768653.4494185
497.5,4.54,1566768653.5155067
497.3,4.54,1566768653.5806308
496.8,4.54,1566768653.6467898
496.3,4.54,1566768653.711922
495.70000000000005,4.54,1566768653.7780557
496.6,4.54,1566768653.8440857
497.20000000000005,4.54,1566768653.9090698
497.70000000000005,4.54,1566768653.9751124
496.90000000000003,4.54,1566768654.041205
496.70000000000005,4.54,1566768654.1062675
495.6,4.54,1566768654.1723545
495.8,4.54,1566768654.2372859
497.1,4.54,1566768654.3034353
497.5,4.54,1566768654.3695135
496.70000000000005,4.54,1566768654.4345098
496.40000000000003,4.54,1566768654.5005999
497.40000000000003,4.54,1566768654.5668266
496.40000000000003,4.54,1566768654.6318908
495.40000000000003,4.54,1566768654.6980662
497.20000000000005,4.54,1566768654.7631178
497.0,4.54,1566768654.8292785
496.8,4.54,1566768654.894312
495.8,4.54,1566768654.9604368
496.40000000000003,4.54,1566768655.0257378
496.6,4.54,1566768655.09193
497.1,4.54,1566768655.1580424
496.40000000000003,4.54,1566768655.2230852
496.70000000000005,4.54,1566768655.28928
495.40000000000003,4.54,1566768655.355201
496.40000000000003,4.54,1566768655.4203615
496.70000000000005,4.54,1566768655.4856436
497.70000000000005,4.54,1566768655.551814
497.5,4.54,1566768655.617994
497.40000000000003,4.54,1566768655.683031
497.0,4.54,1566768655.7492683
496.90000000000003,4.54,1566768655.8142943
497.40000000000003,4.54,1566768655.8804002
497.20000000000005,4.54,1566768655.9455416
497.40000000000003,4.54,1566768656.0115578
496.70000000000005,4.54,1566768656.0777328
496.40000000000003,4.54,1566768656.143658
497.6,4.54,1566768656.208746
496.90000000000003,4.54,1566768656.2748857
