task,time
start dynamic 0,1566596820.68
click,1566596820.687
click,1566596821.433
click,1566596822.206
click,1566596822.797
click,1566596823.386
click,1566596823.979
click,1566596824.57
click,1566596825.587
stop dynamic 0,1566596829.5
start static 0,1566596839.082
click,1566596839.086
click,1566596839.803
click,1566596840.552
click,1566596841.284
click,1566596841.882
click,1566596842.481
click,1566596843.108
click,1566596843.693
stop static 0,1566596848.14
start dynamic 1,1566596858.221
click,1566596858.224
click,1566596858.942
click,1566596859.535
click,1566596860.137
click,1566596860.718
click,1566596861.322
click,1566596861.922
click,1566596862.517
click,1566596863.131
click,1566596863.769
stop dynamic 1,1566596869.01
start static 1,1566596878.488
click,1566596878.491
click,1566596879.166
click,1566596879.829
click,1566596880.431
click,1566596881.042
click,1566596881.614
click,1566596882.198
click,1566596882.795
click,1566596883.362
click,1566596883.989
stop static 1,1566596888.058
